"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"518530","occ","","","52673","Estheria sp.","genus","133416","","Estheria","genus","133416","Aptian","Albian","125","100.5","14031"
"540505","occ","","","56463","Conchostraca indet.","unranked clade","133417","invalid subgroup of","Diplostraca","infraclass","133222","Berriasian","Hauterivian","145","129.4","15205"
"574400","occ","","","60392","Ulugkemia obrutschevi","species","80995","species not entered","Ulugkemia","genus","80995","Givetian","","387.7","382.7","17373"
"574401","occ","","","60392","Ulugkemia barykensis","species","80995","species not entered","Ulugkemia","genus","80995","Givetian","","387.7","382.7","17373"
"584314","occ","","","61448","Branchiopoda indet.","class","22113","","Branchiopoda","class","22113","Carnian","Norian","237","208.5","17738"
"700397","occ","","","75263","Conchostraca indet.","unranked clade","133417","invalid subgroup of","Diplostraca","infraclass","133222","Hettangian","Sinemurian","201.3","190.8","25375"
"719338","occ","","","77192","Conchostraca indet.","unranked clade","133417","invalid subgroup of","Diplostraca","infraclass","133222","Late Aptian","","122.46","112.03","26127"
"740228","occ","","","79579","Estheria sp.","genus","133416","","Estheria","genus","133416","Late Triassic","","237","201.3","26704"
"780914","occ","","","84073","Estheria draperi","species","133416","species not entered","Estheria","genus","133416","Pliensbachian","","190.8","182.7","28154"
"780915","occ","","","84073","Estheria mangaliensis","species","133416","species not entered","Estheria","genus","133416","Pliensbachian","","190.8","182.7","28154"
"787531","occ","","","84941","Estheria sp.","genus","133416","","Estheria","genus","133416","Leonard","","290.1","268","26635"
"792024","occ","","","58786","Conchostraca indet.","unranked clade","133417","invalid subgroup of","Diplostraca","infraclass","133222","Berriasian","Hauterivian","145","129.4","14677"
"806344","occ","","","88068","Conchostraca indet.","unranked clade","133417","invalid subgroup of","Diplostraca","infraclass","133222","Aegean","Bithynian","247.2","242","29585"
"830865","occ","","","91743","Conchostraca indet.","unranked clade","133417","invalid subgroup of","Diplostraca","infraclass","133222","Norian","","228","208.5","30920"
"832021","occ","22306","","89149","Conchostraca indet.","unranked clade","133417","invalid subgroup of","Diplostraca","infraclass","133222","Carnian","Norian","237","208.5","30998"
"895617","occ","","","73687","Estheria middendorfi","species","284667","","Estheria middendorfi","species","284667","Late Barremian","Early Aptian","130","122.46","34144"
"916078","occ","","","104818","Conchostraca indet.","unranked clade","133417","invalid subgroup of","Diplostraca","infraclass","133222","Artinskian","","290.1","279.3","35085"
"930991","occ","","","106542","Estheria sp.","genus","133416","","Estheria","genus","133416","Norian","","228","208.5","35627"
"970515","occ","","","115104","Conchostraca indet.","unranked clade","133417","invalid subgroup of","Diplostraca","infraclass","133222","Longobardian","","242","235","37259"
"974361","occ","","","115919","Isaura sp.","genus","368646","","Isaura","genus","368646","Carnian","","237","228","37415"
"999657","occ","","","121321","Conchostraca indet.","unranked clade","133417","invalid subgroup of","Diplostraca","infraclass","133222","Hettangian","","201.3","199.3","38723"
"1012575","occ","","","123835","Leaia baentschiana","species","237054","","Leaia baentschiana","species","237054","Stephanian A","","305.9","304.8","39838"
"1093947","occ","","","137860","Phyllopoda indet.","subclass","133204","","Phyllopoda","subclass","133204","Early Cretaceous","","145","100.5","44099"
"1094072","occ","","","137873","Leaia baentschiana","species","237054","","Leaia baentschiana","species","237054","Stephanian C","","303.4","301.2","41866"
"1094365","occ","","","138001","Leaia baentschiana","species","237054","","Leaia baentschiana","species","237054","Stephanian","","306.95","298.9","41866"
"1094369","occ","","","138003","Leaia baentschiana","species","237054","","Leaia baentschiana","species","237054","Stephanian","","306.95","298.9","41866"
"1094487","occ","","","138024","Leaia baentschiana","species","237054","","Leaia baentschiana","species","237054","Stephanian","","306.95","298.9","41866"
"1095024","occ","","","123825","Estheria limbata","species","237036","","Estheria limbata","species","237036","Westphalian C","Westphalian D","314.6","306.95","41866"
"1095025","occ","","","123825","Leaia baentschiana","species","237054","","Leaia baentschiana","species","237054","Westphalian C","Westphalian D","314.6","306.95","41866"
"1095038","occ","","","138159","Leaia baentschiana","species","237054","","Leaia baentschiana","species","237054","Stephanian","","306.95","298.9","41866"
"1095039","occ","","","138160","Leaia baentschiana","species","237054","","Leaia baentschiana","species","237054","Stephanian","","306.95","298.9","41866"
"1095117","occ","","","138178","Leaia baentschiana","species","237054","","Leaia baentschiana","species","237054","Stephanian","","306.95","298.9","41866"
"1095119","occ","","","138179","Leaia baentschiana","species","237054","","Leaia baentschiana","species","237054","Stephanian","","306.95","298.9","41866"
"1095122","occ","","","138180","Leaia baentschiana","species","237054","","Leaia baentschiana","species","237054","Stephanian A","","305.9","304.8","41866"
"1095123","occ","","","138181","Leaia baentschiana","species","237054","","Leaia baentschiana","species","237054","Stephanian","","306.95","298.9","41866"
"1096005","occ","","","138347","Leaia baentschiana","species","237054","","Leaia baentschiana","species","237054","Stephanian","","306.95","298.9","41866"
"1096008","occ","","","122593","Leaia baentschiana","species","237054","","Leaia baentschiana","species","237054","Westphalian C","","314.6","311.45","41866"
"1096009","occ","","","122593","Leaia herriana","species","237317","","Leaia herriana","species","237317","Westphalian C","","314.6","311.45","41866"
"1096016","occ","","","138351","Leaia baentschiana","species","237054","","Leaia baentschiana","species","237054","Stephanian","","306.95","298.9","41866"
"1096019","occ","","","122606","Estheria drummi","species","237049","","Estheria drummi","species","237049","Asselian","Sakmarian","298.9","290.1","41866"
"1096020","occ","","","122606","Estheria obenaueri","species","237050","","Estheria obenaueri","species","237050","Asselian","Sakmarian","298.9","290.1","41866"
"1096027","occ","","","138355","Leaia baentschiana","species","237054","","Leaia baentschiana","species","237054","Stephanian","","306.95","298.9","41866"
"1096028","occ","","","138356","Leaia baentschiana","species","237054","","Leaia baentschiana","species","237054","Stephanian","","306.95","298.9","41866"
"1096037","occ","","","138363","Leaia baentschiana","species","237054","","Leaia baentschiana","species","237054","Stephanian","","306.95","298.9","41866"
"1096045","occ","","","123953","Estheria limbata","species","237036","","Estheria limbata","species","237036","Westphalian C","Westphalian D","314.6","306.95","41866"
